,Total  users that are registered to the app overall,Total sensors that were ever connected,Average over 7 days of sensors that were active during each night,Number of different sensors were active at least once during the last 7 days,Number of users that received hypnogram at least once over the last week,Total number of sessions that received at least one hypnogram,Average Apnea notifications per person per night over 7 days,Average HR notifications per person per night over 7 days,Average RR notifications per person per night over 7 days,Number of users that have a premium account and logged in at least once (live),Number of users that are currently being followed at least by one premium user (live),Average HR alerts per person per night over 7 days,Average RR alerts per person per night over 7 days,Average BEX alerts per person per night over 7 days
2017-03-06 - 2017-03-12,9759,3291,71.1428571429,,475,2923,0.111648176605,0.0,0.0,0,0,0.0,0.00111247208014,0.0
2017-03-13 - 2017-03-19,9819,3303,70.5714285714,,482,2506,0.101414800228,0.0,0.0,0,0,0.0,0.00365723474308,0.0
2017-03-20 - 2017-03-26,9978,3334,389.428571429,,489,2845,0.1168085964,0.0,0.0,0,0,0.000403551251009,0.00148186261364,0.497332228736
2017-03-27 - 2017-04-02,10095,3364,393.142857143,,497,2795,0.10257845271,0.0747895033355,0.0197940646098,0,0,0.000358037952023,0.00144149871153,0.506802238883
2017-04-10 - 2017-04-16,10286,3414,383.285714286,506,486,2633,0.106630595226,0.060521222533,0.00234963628535,0,0,0.000421407501054,0.000358037952023,0.469081024033
2017-04-17 - 2017-04-23,10425,3455,390.428571429,512,497,2792,0.115801430466,0.0867431656858,0.00554262628422,0,0,0.0,0.000726940200624,0.473329222283
2017-04-24 - 2017-04-30,10440,3460,404.0,668,520,2764,0.107337932964,0.085876178156,0.00143188725609,0,0,0.000340947834981,0.00104796550146,0.482075507119
2017-05-01 - 2017-05-07,10508,3481,412.571428571,677,517,2876,0.117500154377,0.0657804518084,0.00215631649885,0,0,0.0,0.00107401187927,0.528374727565
2017-05-08 - 2017-05-14,10601,3504,419.714285714,658,509,2954,0.10924177835,0.0646886469849,0.00270924548595,0,0,0.0,0.000685643255046,0.488642908636
2017-05-15 - 2017-05-21,10695,3531,411.571428571,681,527,2858,0.106751320461,0.0835327439121,0.00412664858363,0,0,0.000355366027008,0.00212171215085,0.489652877513
2017-05-22 - 2017-05-28,10779,3551,388.571428571,659,502,2647,0.107336039595,0.0818406853486,0.00401898798006,0,0,0.0,0.00330633778814,0.509243048401
2017-05-29 - 2017-06-04,10853,3571,384.714285714,638,482,2589,0.0994298640645,0.083198969435,0.00104390086543,0,0,0.0,0.00119039994795,0.552150682177
2017-06-05 - 2017-06-11,10944,3590,392.285714286,640,492,2753,0.10775955046,0.0840967440137,0.00186636933823,0,0,0.00034758428919,0.00113584580336,0.550398171979
2017-06-12 - 2017-06-18,10999,3609,382.571428571,657,499,2693,0.103314540047,0.0705599608445,0.00380695932987,0,0,0.0,0.00153824158324,0.569854295671
2017-06-19 - 2017-06-25,11059,3622,368.857142857,624,475,2596,0.120753616242,0.0771450906235,0.00493984802441,0,0,0.0,0.00230816293931,0.545576068956
2017-06-26 - 2017-07-02,11128,3641,376.428571429,626,472,2655,0.123404471618,0.0857555825099,0.0034435647652,0,0,0.0,0.00297253466429,0.509617020517
2017-07-03 - 2017-07-09,11211,3665,375.428571429,621,471,2710,0.104813989766,0.0801217184662,0.00454484140225,0,0,0.000744047619048,0.00303570492612,0.523914231989
2017-07-10 - 2017-07-16,11334,3715,377.142857143,661,497,2598,0.105460891741,0.0838716848288,0.00573655156741,0,0,0.0,0.00262989951673,0.51295941936
2017-07-17 - 2017-07-23,11450,3779,396.285714286,693,516,2802,0.114765540851,0.0757907215603,0.00151035076509,0,0,0.0,0.00280910648458,0.544189214218
2017-07-24 - 2017-07-30,11525,3800,399.428571429,673,511,2818,0.116461636653,0.0674898507237,0.00713378161569,0,0,0.0,0.00219454805795,0.477295956951
2017-07-24 - 2017-07-30,11553,3809,399.428571429,673,511,2818,0.117953617257,0.0659978701195,0.00713378161569,0,0,0.0,0.00219454805795,0.477295956951
2017-07-24 - 2017-07-30,11553,3809,399.428571429,673,511,2818,0.117953617257,0.0659978701195,0.00713378161569,0,0,0.0,0.00219454805795,0.477295956951
2017-07-22 - 2017-07-28,11553,3809,401.428571429,592,511,2887,0.115527803188,0.073856908814,0.00603263268188,0,0,0.0,0.00140665845057,0.516146275316
2017-08-14 - 2017-08-20,11833,3887,407.857142857,551,524,2903,0.140959487758,0.0724733957753,0.00316029600976,0,0,0.0,0.00317106467725,0.545636978413
2017-08-21 - 2017-08-27,11931,3918,414.714285714,703,546,2967,0.136498937013,0.0804966586261,0.00206804185192,0,0,0.0,0.000342583076396,0.576841465667
2017-08-28 - 2017-09-03,11998,3930,424.285714286,692,535,3007,0.133253939942,0.0743781617808,0.0022951439257,0,0,0.0,0.00134109200579,0.600904081829
2017-08-28 - 2017-09-03,12023,3936,424.285714286,692,535,3007,0.132904655974,0.0743781617808,0.0022951439257,0,0,0.0,0.00134109200579,0.600904081829
2017-08-28 - 2017-09-03,12023,3936,424.285714286,692,535,3007,0.132904655974,0.0743781617808,0.0022951439257,0,0,0.0,0.00134109200579,0.600904081829
2017-09-25 - 2017-10-01,12382,4050,443.0,586,551,3164,0.132393977963,0.0886182338365,0.0113811126694,0,0,0.000631475237798,0.00258771191638,0.577790554371
2017-10-02 - 2017-10-08,12454,4066,441.714285714,713,563,3210,0.112146800955,0.0858099307707,0.00618005429391,0,0,0.0,0.00427652847946,0.579927630325
2017-10-09 - 2017-10-15,12542,4090,439.857142857,722,565,3179,0.110307938757,0.0816198126777,0.00287335512061,0,0,0.0,0.00725706567487,0.556933144935
2017-10-16 - 2017-10-22,12627,4119,454.0,720,563,3163,0.115754388973,0.0922812283143,0.0103587956317,0,0,0.000911886987836,0.00471903126956,0.617482086885
2017-10-23 - 2017-10-29,12727,4169,447.285714286,750,586,2858,0.109283973875,0.0595592578096,0.00381618176381,0,0,0.00089161964162,0.00542359558202,0.535338875059
2017-10-30 - 2017-11-05,12828,4220,464.857142857,775,607,3412,0.126042181951,0.0820665979267,0.0211576618286,0,0,0.00122918938141,0.00548664978898,0.550147264305
